t_s,accumulated_rad,input_rad_s
24.088882,-0.004601944545318489,0.0
24.089884,-0.0030679572124481524,0.0
24.090885,-0.0030679572124481524,0.0
24.091887,-0.004601944545318489,0.0
24.092888,-0.0030679572124481524,0.0
24.093889,-0.004601944545318489,0.0
24.094891,-0.004601944545318489,0.0
24.095892,-0.0030679572124481524,0.0
24.096893,-0.0030679572124481524,0.0
24.097895,-0.0030679572124481524,0.0
24.098896,-0.004601944545318489,0.0
24.099897,-0.004601944545318489,0.0
24.100899,-0.0030679572124481524,0.0
24.1019,-0.004601944545318489,0.0
24.102901,-0.004601944545318489,0.0
24.103903,-0.0030679572124481524,0.0
24.104904,-0.0030679572124481524,0.0
24.105906,-0.0030679572124481524,0.0
24.106907,-0.0030679572124481524,0.0
24.107908,-0.004601944545318489,0.0
24.10891,-0.0030679572124481524,0.0
24.109913,-0.0030679572124481524,0.0
24.110914,-0.0030679572124481524,0.0
24.111916,-0.0030679572124481524,0.0
24.112919,-0.004601944545318489,0.0
24.11392,-0.004601944545318489,0.0
24.114922,-0.004601944545318489,0.0
24.115925,-0.004601944545318489,0.0
24.116926,-0.004601944545318489,0.0
24.117928,-0.004601944545318489,0.0
24.118931,-0.0030679572124481524,0.0
24.119932,-0.004601944545318489,0.0
24.120934,-0.004601944545318489,0.0
24.121935,-0.004601944545318489,0.0
24.122936,-0.004601944545318489,0.0
24.123938,-0.0030679572124481524,0.0
24.124941,-0.0030679572124481524,0.0
24.125942,-0.0030679572124481524,0.0
24.126944,-0.0030679572124481524,0.0
24.127947,-0.004601944545318489,0.0
24.128948,-0.004601944545318489,0.0
24.12995,-0.0030679572124481524,0.0
24.130953,-0.0030679572124481524,0.0
24.131954,-0.004601944545318489,0.0
24.132956,-0.004601944545318489,0.0
24.133959,-0.0030679572124481524,0.0
24.13496,-0.004601944545318489,0.0
24.142496,-0.0030679572124481524,0.0
24.143497,-0.004601944545318489,0.0
24.144499,-0.0030679572124481524,0.0
24.1455,-0.0030679572124481524,0.0
24.146502,-0.0030679572124481524,0.0
24.147505,-0.0030679572124481524,0.0
24.148506,-0.0030679572124481524,0.0
24.149508,-0.004601944545318489,0.0
24.150509,-0.004601944545318489,0.0
24.15151,-0.004601944545318489,0.0
24.152512,-0.0030679572124481524,0.0
24.153515,-0.0030679572124481524,0.0
24.154516,-0.0030679572124481524,0.0
24.155518,-0.004601944545318489,0.0
24.156521,-0.004601944545318489,0.0
24.157522,-0.004601944545318489,0.0
24.158524,-0.004601944545318489,0.0
24.159527,-0.0030679572124481524,0.0
24.160528,-0.0030679572124481524,0.0
24.16153,-0.004601944545318489,0.0
24.162533,-0.004601944545318489,0.0
24.163534,-0.0030679572124481524,0.0
24.164536,-0.0030679572124481524,0.0
24.165537,-0.0030679572124481524,0.0
24.166538,-0.0030679572124481524,0.0
24.16754,-0.0030679572124481524,0.0
24.168543,-0.004601944545318489,0.0
24.169544,-0.004601944545318489,0.0
24.170546,-0.004601944545318489,0.0
24.171549,-0.004601944545318489,0.0
24.17255,-0.0030679572124481524,0.0
24.173552,-0.004601944545318489,0.0
24.174555,-0.004601944545318489,0.0
24.175556,-0.0030679572124481524,0.0
