t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.357029,309.9902,-213.398437,-0.504580,-0.287708,-9.111135,-0.258574,0.893037,-0.116719,-0.504580,0.023360,0.00,1,0.00
0.359285,309.9902,-213.398437,-0.178969,-0.288403,-9.181764,0.067038,0.990002,-0.187348,-0.178969,0.120326,0.00,1,0.00
0.361540,309.9023,-213.486328,-0.089186,-0.288583,-9.148245,0.156820,1.108515,-0.153830,-0.089186,0.238839,0.00,1,0.00
0.363799,310.0781,-213.310547,-0.471062,-0.289356,-9.099164,-0.225055,0.958878,-0.104749,-0.471062,0.089201,0.00,1,0.00
0.366054,309.9902,-213.398437,-0.484230,-0.290486,-9.084799,-0.238223,0.888249,-0.090384,-0.484230,0.018572,0.00,1,0.00
0.368309,309.9902,-213.398437,-0.393250,-0.291402,-9.038112,-0.147243,0.843956,-0.043696,-0.393250,-0.025721,0.00,1,0.00
0.370563,309.9902,-213.398437,-0.394447,-0.292288,-9.069236,-0.148441,0.875081,-0.074821,-0.394447,0.005404,0.00,1,0.00
0.372823,309.9902,-213.398437,-0.146647,-0.292854,-9.145850,0.099359,0.949301,-0.151435,-0.146647,0.079624,0.00,1,0.00
0.375079,309.9902,-213.398437,-0.072427,-0.293063,-9.149442,0.173580,0.926556,-0.155026,-0.072427,0.056879,0.00,1,0.00
0.377334,309.9902,-213.398437,-0.210094,-0.293450,-9.143456,0.035913,0.903811,-0.149041,-0.210094,0.034134,0.00,1,0.00
0.379588,309.9902,-213.398437,-0.255583,-0.294028,-9.109938,-0.009577,0.866701,-0.115522,-0.255583,-0.002976,0.00,1,0.00
0.381848,309.9902,-213.398437,-0.172983,-0.294472,-9.016563,0.073023,0.885855,-0.022148,-0.172983,0.016178,0.00,1,0.00
0.384102,309.9023,-213.486328,-0.146647,-0.294856,-9.081207,0.099359,1.027112,-0.086792,-0.146647,0.157436,0.00,1,0.00
0.386356,309.9902,-213.398437,-0.103552,-0.295092,-9.153033,0.142455,1.071405,-0.158618,-0.103552,0.201729,0.00,1,0.00
0.393707,309.9902,-213.398437,0.105941,-0.294314,-9.018958,0.351948,0.888249,-0.024543,0.105941,0.018572,0.00,1,0.00
0.395776,309.9902,-213.398437,0.079605,-0.294124,-9.082404,0.325611,0.961272,-0.087989,0.079605,0.091595,0.00,1,0.00
0.398030,309.9902,-213.398437,0.099955,-0.293926,-9.108741,0.345962,0.956484,-0.114326,0.099955,0.086807,0.00,1,0.00
0.400285,310.0781,-213.310547,0.071225,-0.293731,-9.045294,0.317232,0.861913,-0.050879,0.071225,-0.007764,0.00,1,0.00
0.402540,310.0781,-213.310547,-0.065244,-0.293800,-9.016563,0.180762,0.831985,-0.022148,-0.065244,-0.037692,0.00,1,0.00
0.404795,310.0781,-213.310547,-0.025740,-0.293975,-9.022549,0.220267,0.879869,-0.028133,-0.025740,0.010192,0.00,1,0.00
0.407055,310.0781,-213.310547,0.165796,-0.293816,-9.044097,0.411803,0.973243,-0.049682,0.165796,0.103566,0.00,1,0.00
0.409311,309.9902,-213.398437,0.255579,-0.293270,-9.076419,0.501585,1.000776,-0.082004,0.255579,0.131100,0.00,1,0.00
0.411566,309.9902,-213.398437,0.262761,-0.292686,-9.066842,0.508768,0.869095,-0.072427,0.262761,-0.000582,0.00,1,0.00
0.413821,309.9902,-213.398437,0.255579,-0.292095,-9.039309,0.501585,0.811634,-0.044893,0.255579,-0.058042,0.00,1,0.00
0.416081,309.9902,-213.398437,0.225651,-0.291554,-8.992621,0.471658,0.817620,0.001794,0.225651,-0.052057,0.00,1,0.00
0.418336,309.9902,-213.398437,0.205300,-0.291072,-9.005790,0.451307,0.877475,-0.011374,0.205300,0.007798,0.00,1,0.00
0.420590,310.0781,-213.310547,0.183753,-0.290665,-9.064447,0.429759,0.888249,-0.070032,0.183753,0.018572,0.00,1,0.00
0.422845,309.9902,-213.398437,0.195724,-0.290233,-9.059659,0.441730,0.938527,-0.065244,0.195724,0.068850,0.00,1,0.00
0.425106,309.9902,-213.398437,0.192132,-0.289797,-9.040505,0.438139,0.962469,-0.046090,0.192132,0.092792,0.00,1,0.00
0.427361,310.0781,-213.310547,0.266353,-0.289249,-9.036914,0.512359,0.885855,-0.042499,0.266353,0.016178,0.00,1,0.00
0.429615,309.9902,-213.398437,0.375289,-0.288474,-9.041702,0.621295,0.858321,-0.047287,0.375289,-0.011355,0.00,1,0.00
0.431870,309.9902,-213.398437,0.309448,-0.287685,-9.052477,0.555455,0.845153,-0.058062,0.309448,-0.024524,0.00,1,0.00
0.434124,310.0781,-213.310547,0.184950,-0.287163,-9.068039,0.430956,0.857124,-0.073624,0.184950,-0.012553,0.00,1,0.00
0.436386,309.9902,-213.398437,0.174176,-0.286788,-9.058462,0.420182,0.858321,-0.064047,0.174176,-0.011355,0.00,1,0.00
0.438642,310.0781,-213.310547,0.308251,-0.286156,-9.003395,0.554258,0.836774,-0.008980,0.308251,-0.032903,0.00,1,0.00
0.440897,309.9023,-213.486328,0.171782,-0.285598,-9.038112,0.417788,0.834379,-0.043696,0.171782,-0.035297,0.00,1,0.00
0.443154,310.0781,-213.310547,0.138263,-0.285274,-9.016563,0.384269,0.922965,-0.022148,0.138263,0.053288,0.00,1,0.00
0.445414,309.9902,-213.398437,0.240016,-0.284781,-9.032125,0.486023,0.981623,-0.037710,0.240016,0.111946,0.00,1,0.00
0.447669,310.0781,-213.310547,0.169387,-0.284338,-9.069236,0.415394,0.870292,-0.074821,0.169387,0.000616,0.00,1,0.00
0.449924,309.9902,-213.398437,0.137066,-0.283997,-9.057265,0.383072,0.912191,-0.062850,0.137066,0.042514,0.00,1,0.00
0.452180,309.9902,-213.398437,0.087985,-0.283767,-9.093178,0.333991,0.905008,-0.098763,0.087985,0.035331,0.00,1,0.00
0.454441,310.0781,-213.310547,0.080802,-0.283593,-9.062054,0.326809,0.869095,-0.067638,0.080802,-0.000582,0.00,1,0.00
0.456695,309.9902,-213.398437,0.098758,-0.283354,-9.056067,0.344765,0.840365,-0.061652,0.098758,-0.029312,0.00,1,0.00
