t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.383462,17.4902,-511.699219,734,516.0937,2000.00,1,2000.00
0.384463,16.2598,-512.929688,736,517.5000,2000.00,1,2000.00
0.385464,14.8535,-514.335938,738,518.9062,2000.00,1,2000.00
0.386465,13.3594,-515.830078,740,520.3125,2000.00,1,2000.00
0.387466,11.8652,-517.324219,742,521.7187,2000.00,1,2000.00
0.388467,10.3711,-518.818359,744,523.1250,2000.00,1,2000.00
0.389468,9.2285,-519.960938,746,524.5312,2000.00,1,2000.00
0.390468,7.7344,-521.455078,748,525.9375,2000.00,1,2000.00
0.391469,6.0645,-523.125000,749,526.6406,2000.00,1,2000.00
0.392470,4.7461,-524.443359,751,528.0469,2000.00,1,2000.00
0.393471,3.2520,-525.937500,753,529.4531,2000.00,1,2000.00
0.394472,1.6699,-527.519531,755,530.8594,2000.00,1,2000.00
0.395473,0.2637,-528.925781,757,532.2656,2000.00,1,2000.00
0.396474,358.6816,-530.507813,759,533.6719,2000.00,1,2000.00
0.397475,357.1875,-532.001953,761,535.0781,2000.00,1,2000.00
0.398476,355.7812,-533.408203,763,536.4844,2000.00,1,2000.00
0.399477,354.1113,-535.078125,765,537.8906,2000.00,1,2000.00
0.400478,352.7051,-536.484375,767,539.2969,2000.00,1,2000.00
0.401479,351.2109,-537.978516,769,540.7031,2000.00,1,2000.00
0.402480,349.8047,-539.384766,770,541.4062,2000.00,1,2000.00
0.403481,348.3105,-540.878906,773,543.5156,2000.00,1,2000.00
0.404482,346.5527,-542.636719,774,544.2187,2000.00,1,2000.00
0.405483,345.0586,-544.130859,776,545.6250,2000.00,1,2000.00
0.406484,343.6523,-545.537109,778,547.0312,2000.00,1,2000.00
0.407485,342.0703,-547.119141,780,548.4375,2000.00,1,2000.00
0.408486,340.5762,-548.613281,782,549.8437,2000.00,1,2000.00
0.409487,339.1699,-550.019531,784,551.2500,2000.00,1,2000.00
0.410488,337.5879,-551.601563,786,552.6562,2000.00,1,2000.00
0.411489,336.2695,-552.919922,788,554.0625,2000.00,1,2000.00
0.412490,334.6875,-554.501953,789,554.7656,2000.00,1,2000.00
0.413491,333.1055,-556.083984,792,556.8750,2000.00,1,2000.00
0.414492,331.6992,-557.490234,794,558.2812,2000.00,1,2000.00
0.415493,330.0293,-559.160156,795,558.9844,2000.00,1,2000.00
0.416494,328.4473,-560.742188,797,560.3906,2000.00,1,2000.00
0.417495,327.2168,-561.972656,799,561.7969,2000.00,1,2000.00
0.418496,325.6348,-563.554688,801,563.2031,2000.00,1,2000.00
0.419497,324.0527,-565.136719,803,564.6094,2000.00,1,2000.00
0.420498,322.7344,-566.455078,805,566.0156,2000.00,1,2000.00
0.421499,321.2402,-567.949219,807,567.4219,2000.00,1,2000.00
0.422499,319.9219,-569.267578,809,568.8281,2000.00,1,2000.00
0.423500,318.4277,-570.761719,811,570.2344,2000.00,1,2000.00
0.431378,307.0898,-582.099609,826,580.7812,2000.00,1,2000.00
0.432379,305.5957,-583.593750,828,582.1875,2000.00,1,2000.00
0.433380,304.3652,-584.824219,829,582.8906,2000.00,1,2000.00
0.434381,303.0469,-586.142578,831,584.2969,2000.00,1,2000.00
0.435382,301.5527,-587.636719,833,585.7031,2000.00,1,2000.00
0.436383,300.2344,-588.955078,835,587.1094,2000.00,1,2000.00
0.437384,298.8281,-590.361328,837,588.5156,2000.00,1,2000.00
0.438385,297.5098,-591.679688,839,589.9219,2000.00,1,2000.00
0.439386,296.1914,-592.998047,841,591.3281,2000.00,1,2000.00
0.440387,294.7852,-594.404297,843,592.7344,2000.00,1,2000.00
0.441388,293.3789,-595.810547,845,594.1406,2000.00,1,2000.00
0.442389,292.1484,-597.041016,847,595.5469,2000.00,1,2000.00
0.443390,290.8301,-598.359375,849,596.9531,2000.00,1,2000.00
0.444391,289.5996,-599.589844,850,597.6562,2000.00,1,2000.00
0.445392,288.1934,-600.996094,853,599.7656,2000.00,1,2000.00
0.446393,286.8750,-602.314453,854,600.4687,2000.00,1,2000.00
0.447394,285.5566,-603.632813,856,601.8750,2000.00,1,2000.00
0.448395,284.3262,-604.863281,858,603.2812,2000.00,1,2000.00
0.449395,283.0957,-606.093750,860,604.6875,2000.00,1,2000.00
0.450396,281.8652,-607.324219,862,606.0937,2000.00,1,2000.00
0.451397,280.4590,-608.730469,864,607.5000,2000.00,1,2000.00
0.452398,279.0527,-610.136719,866,608.9062,2000.00,1,2000.00
0.453399,277.9980,-611.191406,868,610.3125,2000.00,1,2000.00
0.454400,276.6797,-612.509766,870,611.7187,2000.00,1,2000.00
0.455401,275.3613,-613.828125,872,613.1250,2000.00,1,2000.00
0.456402,274.0430,-615.146484,873,613.8281,2000.00,1,2000.00
0.457403,272.8125,-616.376953,876,615.9375,2000.00,1,2000.00
0.458404,271.7578,-617.431641,878,617.3437,2000.00,1,2000.00
0.459405,270.4395,-618.750000,879,618.0469,2000.00,1,2000.00
